STORY,QUERY,TRACK,INDEX
"In a busy coffee shop, Lisa, the waitress, accidentally bumped into a coffee cup placed at the edge of a table while rushing around, causing coffee to splash onto Bob's company documents. Unaware of the incident, Lisa continued her work. At the same time, Bob was paying at the counter and did not see his documents getting stained. The shop owner, who witnessed the entire scene, chose not to inform Bob because he was often irritated by Bob's rude behavior towards the staff and thought Bob deserved a minor punishment. After Bob left, the shop owner gleefully told Lisa about her accidental revenge on Bob.","<QUESTION>###QUESTION: The shop owner knows that Lisa ruins Bob's contract, but he doesn't tell Bob in time to let him make amends, what kind of emotion does the shop owner feel?</QUESTION>
<OPTIONS>###OPTION: A. The shop owner possibly feels unhappy, because he thinks Bob is their important customer. B. The shop owner possibly feels guilty and regretful, because he misses the chance to tell Bob, causing Bob unable to make amends in time. C. The shop owner possibly feels satisfied and complacent, because he thinks he punishes Bob's rude behavior in some form. D. The shop owner possibly feels indifferent, because he thinks the damage to the contract has nothing to do with him, and doesn't need to take any action.</OPTIONS>",305,113
"Li Na is a passionate community volunteer, often helps to organize community activities. One day, she is in charge of collecting donated clothes and categorizes them into packages. Ali is her assistant, due to a misunderstanding, he mistakenly packs the clothes that a resident specifically marks for a specific charity into the general donation box. Mark knows the special significance of these clothes, but because he has a personal grudge with that resident, he does not tell Li Na and Ali. When the resident asks, Li Na feels confused, and Ali starts to check if there is a mistake, finally finds out it is his own mistake.","<QUESTION>###QUESTION: What kind of emotion does Ali feel after realizing that he might have mishandled the specially marked clothes?</QUESTION>
<OPTIONS>###OPTION: A. Ali possibly feels proud because he thinks he helps to complete an important task. B. Ali possibly feels indifferent because he does not know the special mark of the clothes. C. Ali possibly feels confused because he is not sure if he really makes a mistake. D. Ali possibly feels regret and anxiety because he unintentionally ruins the special donation intention of the clothes.</OPTIONS>",306,114
"Lia is a great chef, in a cooking competition, she prepares a special dish. Sam is her assistant, he adds seasoning to the dish according to Lia's instructions, but he adds the wrong seasoning halfway. At the same time, Chris is Lia's opponent, he knows about Sam's mistake, but decides not to tell anyone. After the competition results come out, Lia's dish gets high praise from the judges because of its unique taste, but Lia herself feels confused about this unexpected change.","<QUESTION>###QUESTION: Chris knows that Sam adds the wrong seasoning, but does not tell anyone, what kind of emotion does he feel?</QUESTION>
<OPTIONS>###OPTION: A. Chris possibly feels worried, concerned about the fairness of the competition. B. Chris possibly feels indifferent, because he thinks the competition result has nothing to do with him. C. Chris possibly feels secretly pleased and hopeful, because this mistake may let him win the competition. D. Chris possibly feels confused, unsure whether he should intervene.</OPTIONS>",307,115
"Xiao Ming and Xiao Gang are good friends, one day they go to the mountain for an adventure together. On the mountain top, they find a very cute puppy, Xiao Ming likes dogs very much, so he takes it home to raise. Xiao Gang knows this puppy belongs to the old man Wang Da Ye in the village, because he sees Wang Da Ye often walks the dog outside, but he chooses not to tell Xiao Ming, because he does not want Xiao Ming to feel disappointed. Later, Wang Da Ye finds his dog is missing and asks the children in the village, finally he knows it is taken away by Xiao Ming.","<QUESTION>###QUESTION: What kind of emotion does Xiao Ming feel after he knows this dog belongs to Wang Da Ye?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Ming possibly feels guilty and regretful, because he takes away someone else's pet unintentionally. B. Xiao Ming possibly feels happy, because he gets a cute puppy. C. Xiao Ming possibly feels indifferent, because he likes that puppy very much. D. Xiao Ming possibly feels confused, because he is not sure whether he should return the dog to Wang Da Ye.</OPTIONS>",308,116
"Xiao Hua and Xiao Qiang went to the zoo together and found the rabbits very cute. There were carrots for sale at the zoo's ticket booth for visitors to feed the rabbits. Xiao Qiang, however, took out a bag of carrots that he had prepared in advance, but he didn't tell Xiao Hua that the carrots were his own and not purchased from the booth. The zookeepers do not recommend that visitors feed the animals with their own food. After they left, they overheard a zookeeper saying that the rabbits were very popular and had eaten too much. As they were leaving, Xiao Qiang revealed that the carrots they had fed the rabbits were the ones he had brought.","<QUESTION>###QUESTION: Xiao Hua does not tell Xiao Qiang about the zoo's rule against feeding, what kind of emotion does he feel?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Hua possibly feels happy, because he thinks Xiao Qiang feeding the rabbit is an act of expressing love. B. Xiao Hua possibly feels guilty and anxious, because he does not tell Xiao Qiang the rules of the zoo, which leads to the adverse reaction of the rabbit. C. Xiao Hua possibly feels indifferent, because he thinks Xiao Qiang feeding the rabbit does not lead to serious consequences. D. Xiao Hua possibly feels confused, because he is unsure whether he should tell Xiao Qiang the rules of the zoo in this situation.</OPTIONS>",309,117
"The little boy Tom finds some money on his way home from school. He is very happy and starts to think about how to use this money. As he walks, he meets an aunt. The aunt says to him, ""Tom, if you help me pick apples, I give you some money."" So Tom decides to stay at the aunt's house to help pick apples.","<QUESTION>###QUESTION: What does Tom do after he helps the aunt pick apples?</QUESTION>
<OPTIONS>###OPTION: A. Tom goes to the park to play. B. Tom goes to the store to buy things. C. Tom helps the aunt make apple pie. D. Tom donates the money to a charity.</OPTIONS>",310,118
"Lili always saves money, hoping to go on vacation to Bali with her boyfriend. However, Lili's boyfriend tells her emotionally on his birthday that he always dreams of owning a brand-name watch. Hearing her boyfriend's wish, Lili decides to use her savings to buy him that watch.","<QUESTION>###QUESTION: What does Lili do after she buys the watch for her boyfriend?</QUESTION>
<OPTIONS>###OPTION: A. Lili takes many photos to commemorate this moment. B. Lili goes on vacation to Bali with her boyfriend. C. Lili does not go on vacation to Bali. D. Lili saves money to buy another watch.</OPTIONS>",311,119
"Sara is a designer, she always hopes to design a unique LOGO for the company's new project. However, her teammate is on sick leave recently, the task of making the promotional video falls on her, she decides to fully complete the production of the promotional video.","<QUESTION>###QUESTION: What does Sara do after she completes the production of the promotional video?</QUESTION>
<OPTIONS>###OPTION: A. Sara continues to complete the production of the project logo. B. Sara continues to produce more promotional videos. C. Sara takes a break for a while and then carries out new tasks. D. Sara resigns from her position as a designer.</OPTIONS>",312,120
"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.","<QUESTION>###QUESTION: What does Xiao Li see in the box?</QUESTION>
<OPTIONS>###OPTION: A. Does not see B. Handbag C. Tote Bags D. Chalk</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li returns to the bank, does Xiao Li know where the chalk is now?</QUESTION>
<OPTIONS>###OPTION: A. Does not know B. Knows, in the handbag C. Knows, in the Tote Bags D. Knows, in the box</OPTIONS>",313-314,121
"Xiao Bei and Xiao Li stroll in the parking lot, they see boxes and baskets, they find bananas and apples in the box, Xiao Li leaves the parking lot, Xiao Bei moves the bananas to the basket.","<QUESTION>###QUESTION: What does Xiao Li see in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Bananas and apples B. Bananas C. Apples D. Sees nothing</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li returns to the parking lot, does Xiao Li know where the bananas are now?</QUESTION>
<OPTIONS>###OPTION: A. Does not know B. Knows, in the box C. Knows, in the handbag D. Knows, in the basket</OPTIONS>",315-316,122
"Xiao Hong and Xiao Gang are wandering in the smoking room. They see boxes and crates, and inside the box, they find zucchinis. Xiao Gang leaves the smoking room, and Xiao Hong moves the zucchinis to the crate.","<QUESTION>###QUESTION: Does Xiao Gang see anything in the crate?</QUESTION>
<OPTIONS>###OPTION: A. Zucchinis B. Does not see C. Crates D. Boxes</OPTIONS>
<QUESTION>###QUESTION: Xiao Gang returns to the smoking room, does Xiao Gang know where the zucchini is now?</QUESTION>
<OPTIONS>###OPTION: A. Does not know B. Knows, in the crate C. Knows, in the box D. Knows, in the safe</OPTIONS>",317-318,123
"Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time today, they do not know what they can do together. Maybe go for ice cream? Xiao Hong really, really wants to go to the amusement park today. However, Dad thinks the amusement park has a lot of noise. He says: ""Xiao Hong, this is not a good idea. I think there is a lot of noise in the amusement park.""","<QUESTION>###QUESTION: How does Xiao Hong persuade her dad?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Hong can look up some information, proving that the current amusement parks take many measures to reduce noise, such as setting up soundproof walls, using quieter equipment, etc. B. Xiao Hong can tell her dad that she has not been to the amusement park for a long time, this is a very special wish for her, she really wants to go. C. If Dad really does not want to go to the amusement park, Xiao Hong can suggest going to other places, such as parks or zoos, so everyone is happy. D. Xiao Hong can suggest: ""How about we go in the early morning or on weekdays? I hear that there are fewer people at that time, and it is quieter. We can avoid peak hours, and get a quieter experience.""</OPTIONS>",319,124
"Xiao Ming is 6 years old this year, and his younger brother is 3 years old. Their mother wants to attend a reading club at night and needs Xiao Ming to take care of his younger brother for a few hours.","<QUESTION>###QUESTION: How does the mother convince Xiao Ming?</QUESTION>
<OPTIONS>###OPTION: A. The mother promises to take them out for delicious food when she comes home. B. The mother can say, ""Xiao Ming, helping mom take care of your brother helps you develop your sense of responsibility."" C. The mother can say, ""Help mom this time, and whatever help you need next time, mom definitely supports you."" D. The mother can say, ""When you take care of your brother, if you encounter any problems, you can call me at any time, and I guide you.""</OPTIONS>",320,125
"Xiaoping just graduates from university. Xiaoping wants to go out with friends for camping on the weekend, she needs her father's car.","<QUESTION>###QUESTION: How does Xiaoping persuade her father?</QUESTION>
<OPTIONS>###OPTION: A. Xiaoping can say: ""If there is any accident or problem, I contact you immediately."" B. Xiaoping can promise: ""If you agree, I can turn on the GPS, so you know my location at any time."" C. She guarantees to return on time and takes responsibility for cleaning the vehicle D. Xiaoping can say: ""If I can borrow the car, I do some housework to thank you.""</OPTIONS>",321,126
"Xiao Gang just enters high school and finds out that his dad often unintentionally reads his diary. To protect his privacy, Xiao Gang decides to talk to his dad.","<QUESTION>###QUESTION: How does Xiao Gang convince his dad?</QUESTION>
<OPTIONS>###OPTION: A. Dad, I hope you can trust me, know that I make the right decisions. B. If you are not at ease, we can set a specific time, I share my thoughts and feelings with you. C. Dad, this behavior of yours disrespects me, I have my own privacy. D. I respect your privacy, hope you also respect me the same way.</OPTIONS>",322,127
"Xiao Qiang is in junior high school this year. This morning, he rushes out the door and forgets to bring his homework. He tells Teacher Li about this situation, but considering that he often fails to hand in or misses homework, and his grades are not very good, Teacher Li thinks he is lying.","<QUESTION>###QUESTION: How does Xiao Qiang convince Teacher Li that he really does not bring his homework?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Qiang takes out his backpack, shows the contents of his backpack to Teacher Li, proving that he really does not bring his homework. B. Xiao Qiang can suggest that after school, he invites Teacher Li to his house to check the homework book, proving that he indeed does the homework. C. Xiao Qiang provides photos or videos of doing homework the night before as evidence. D. Xiao Qiang tells Teacher Li that he is willing to redo the homework after school or during the break, to prove his true intentions.</OPTIONS>",323,128
"Ling finds that her niece, Xiao Fang, is obsessed with mobile games, which affects her studies. Xiao Fang says the phone is for keeping in touch with friends.","<QUESTION>###QUESTION: How does Ling convince Xiao Fang?</QUESTION>
<OPTIONS>###OPTION: A. Ling proposes a no-phone day every week, letting Xiao Fang experience life without a phone. B. Ling encourages Xiao Fang to participate in school or community team activities, so she can interact with friends in real life, not just in the virtual world. C. Ling suggests that Xiao Fang does a period of no-screen activity before bed every night, such as reading paper books, to help her sleep better. D. Ling can watch some documentaries or articles about phone addiction and screen time management with Xiao Fang.</OPTIONS>",324,129
"Zhang San works at a certain company, the place where he sits is a bit cold, he feels that his colleague Wang Wu's place is very comfortable. Therefore, he hopes to switch places with Wang Wu.","<QUESTION>###QUESTION: How does Zhang San persuade Wang Wu to switch seats with him</QUESTION>
<OPTIONS>###OPTION: A. Zhang San can say: ""Brother Wu, my seat is too cold, can we switch seats? I help you share more work, how about it"" B. Zhang San can first apply to the leader, and then say to Wang Wu: ""Wang Wu, the leader lets me switch places with you."" C. Zhang San can suggest: ""We can try to switch for a day or two, if you feel uncomfortable, we switch back."" D. Zhang San can sincerely say: ""Wang Wu, I really feel too cold here, can you help me? I really need it.""</OPTIONS>",325,130
Travel agency manager Liu Lei hopes to get more customers. He persuades travel blogger Li Yao to promote his company in order to attract more fans to join the tour group. Li Yao worries that potential failure may affect her own image.,"<QUESTION>###QUESTION: How does Liu Lei convince Li Yao?</QUESTION>
<OPTIONS>###OPTION: A. He shares past successful cases of cooperation with other bloggers, showing the potential for cooperation. B. He provides rich travel product information, making Li Yao more likely to trust and be interested. C. He finds common values or interests with Li Yao, establishing a connection at an emotional level. D. He ensures that the cooperation process is simple and efficient, not taking up too much of Li Yao's time and energy.</OPTIONS>",326,131
Classmate Xiao Li thinks fast food is the best choice because it saves time and trouble. Health guru Xiao Hua tries to convince Xiao Li to try healthier food.,"<QUESTION>###QUESTION: How does Xiao Hua convince Xiao Li?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Hua can recommend some healthy and delicious food to Xiao Li, such as fruit salad, whole wheat sandwiches, etc. B. Xiao Hua can suggest taking a cooking class with Xiao Li, combining healthy eating with social activities. C. Xiao Hua can emphasize that maintaining healthy eating habits benefits long-term health and prevents various diseases. D. Xiao Hua can stick to healthy eating habits and become a role model for Xiao Li.</OPTIONS>",327,132
"Zhang San is an engineer at the company, and Li Si is Zhang San's leader. This morning, Li Si suddenly wants to drink coffee, but the coffee shop is a bit far from the company, and Li Si does not want to go buy it himself. So Li Si asks Zhang San to go buy coffee for him now.","<QUESTION>###QUESTION: How does Li Si persuade Zhang San to go buy coffee for him now?</QUESTION>
<OPTIONS>###OPTION: A. Zhang San, I hear that the coffee shop has a new flavor, how about we go buy a cup of coffee together, I treat? B. Zhang San, you just finish that project very well, as a reward from me, can you help me buy a cup of coffee? C. Zhang San, you should have free time during your lunch break, if it is convenient, can you help me buy a cup of coffee then? D. Zhang San, can you go to the coffee shop to buy me a cup of coffee?</OPTIONS>",328,133
"Uncle Li works in a large company for many years, he believes that a stable job is the best. His son, Xiao Li, is passionate about starting a business and hopes to convince Uncle Li to understand the value and significance of entrepreneurship.","<QUESTION>###QUESTION: How does Xiao Li convince Uncle Li?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Li can share some successful entrepreneurial stories, such as Jack Ma, Zhang Yiming, etc., to show that entrepreneurship can bring great achievements. B. Xiao Li can organize a family meeting, let the family discuss together and give Uncle Li more confidence. C. Xiao Li can show Uncle Li how his business plan meets current and future market needs. D. Xiao Li can promise to regularly report the progress of the business to Uncle Li, making Uncle Li feel involved and at ease.</OPTIONS>",329,134
"Xiao Ming and Xiao Qiang are college roommates, but their majors are different, so they do not communicate much. In the evening, Xiao Ming suddenly receives a notice that he needs to submit an assignment, which requires a computer, but his computer is in the lab. Xiao Ming hopes to borrow Xiao Qiang's computer. However, Xiao Qiang says that he has an appointment with his friends to play online games together in the evening.","<QUESTION>###QUESTION: How does Xiao Ming persuade Xiao Qiang to lend him the computer?</QUESTION>
<OPTIONS>###OPTION: A. Qiang, if you lend me your computer now, I can find a place to do my homework, and you and your friends can play games elsewhere. B. I really do not expect to have such an urgent assignment, if I do not submit it, my grades may be affected. Can you help me? C. Xiao Qiang, can you lend me your computer tonight? I can lend you my computer for the whole day tomorrow, so you can have more time to play with your friends. D. Xiao Qiang, can you lend me your computer? I will return it to you as soon as possible, and I treat you to milk tea tomorrow.</OPTIONS>",330,135
"Zhang Nan and Chen Jie are business partners. Zhang Nan finds a new business opportunity, but Chen Jie thinks this is a huge risk investment.","<QUESTION>###QUESTION: How does Zhang Nan convince Chen Jie?</QUESTION>
<OPTIONS>###OPTION: A. Zhang Nan says they are long-term business partners and hopes Chen Jie trusts his judgment. B. Zhang Nan provides successful cases or the successful experiences of other companies as references for Chen Jie. C. Zhang Nan finds other colleagues to convince Chen Jie together. D. Zhang Nan suggests that they jointly develop a detailed business plan.</OPTIONS>",331,136
"Manager Zhang Tao needs to use the office projector for official business, but that day, subordinate Li Xiao also has a meeting requirement.","<QUESTION>###QUESTION: How does Zhang Tao persuade Li Xiao?</QUESTION>
<OPTIONS>###OPTION: A. Zhang Tao expresses a willingness to provide other forms of support for Li Xiao's team, such as technical or material assistance. B. Zhang Tao says he adjusts the meeting time of Li Xiao, he needs to use the projector that day, Li Xiao can use it at other times. C. Zhang Tao proposes that the two find a spare projector together to meet the needs of both parties. D. Zhang Tao provides technical support, helps Li Xiao to convert the meeting content into digital for online viewing.</OPTIONS>",332,137
"Manager Li Jun hears that employee Zhang Hua plans to resign due to high work pressure. Knowing Zhang Hua's talent, Li Jun decides to talk to him.","<QUESTION>###QUESTION: How does Li Jun persuade Zhang Hua?</QUESTION>
<OPTIONS>###OPTION: A. Li Jun tells Zhang Hua that the greater the ability, the greater the responsibility, he should be thankful for this job, others are envious of him. B. Opens an internal innovation or suggestion platform, encourages Zhang Hua to put forward his own ideas or improvement suggestions. C. Provides Zhang Hua with more rest time or holidays to help him relieve stress. D. Invites Zhang Hua to participate in team building or team activities to enhance team cohesion.</OPTIONS>",333,138
"The boss lady, Li Ting, firmly believes that offline stores are the stable business. The young clerk, Xiao Chen, sets up an online store using the internet, he hopes to convince Li Ting to try e-commerce.","<QUESTION>###QUESTION: How does Xiao Chen convince Li Ting?</QUESTION>
<OPTIONS>###OPTION: A. He provides relevant e-commerce training and guidance, ensuring Li Ting easily gets the hang of it. B. He thinks e-commerce is an additional sales channel, it does not affect the offline business, but is a supplement. C. Through e-commerce, he gets user feedback more directly to improve products or services. D. Chen can suggest that the cardboard packaging of e-commerce promotes environmental protection concepts, attracting consumers with strong environmental awareness.</OPTIONS>",334,139
"Zhang Min gets job offers from two companies, she leans more towards Company A. In order to get a higher salary, she tries to convince Company B to offer a higher price.","<QUESTION>###QUESTION: How does Zhang Min convince Company B?</QUESTION>
<OPTIONS>###OPTION: A. Zhang Min can detail her past professional achievements to prove her worth. B. Zhang Min can express her strong interest in the position at Company B and hopes the compensation reflects this. C. Zhang Min can emphasize her skills and experience, and explain how these bring value to Company B. D. She can reveal that other companies (like Company A) show interest in her and offer a more competitive price.</OPTIONS>",335,140
"Li Na is an outstanding sales representative, she wants to convince her boss to let her transfer from the sales department to the marketing department.","<QUESTION>###QUESTION: How does Li Na convince her boss?</QUESTION>
<OPTIONS>###OPTION: A. She can emphasize that by allowing her to transfer, the company not only retains a valuable employee, but also enhances the job satisfaction and loyalty of the employee. B. She proposes a detailed plan, explaining how she smoothly transitions to the marketing department without affecting the operation of the sales department. C. She can point out how her skills accumulated in the sales department, such as customer communication, market analysis, and strategic planning, can transform into assets for the marketing department. D. Li Na can show her deep understanding of the work and industry trends of the marketing department, and how she can apply this knowledge to the new position.</OPTIONS>",336,141
"Dongdong and Xixi are fixing a car in the park, preparing for a weekend outing. They are always discussing where to play, but neither of them comes up with a good idea. At this time, Nannan passes by, and Dongdong then stops Nannan and asks him to come over to see the car they are fixing. Nannan sees their interaction and still walks over.","<QUESTION>###QUESTION: What does Dongdong want to do?</QUESTION>
<OPTIONS>###OPTION: A. Ask Nannan to help him fix the car B. Invite Nannan to go out with them C. Ask Nannan to give them an idea of where to play. D. Dongdong hopes to show off their car repair skills to Nannan.</OPTIONS>",337,142
"Zhiqiang and Xiaoli are members of the community environmental protection group, they are planning an environmental protection public welfare activity. Feifei is a new member of the group, today is her first time attending a group meeting, she is not very confident in herself. Xiaoli and Zhiqiang are discussing who is responsible for collecting and classifying all plastic waste activities. They have too many tasks to be responsible for, they cannot handle it. Suddenly, Xiaoli sees Feifei, then she winks at Zhiqiang, Zhiqiang nods.","<QUESTION>###QUESTION: What does Xiaoli do?</QUESTION>
<OPTIONS>###OPTION: A. Helps Zhiqiang collect and classify plastic waste B. Suggests that Zhiqiang is responsible for collecting and classifying plastic waste. C. Invites Feifei to join her in the plastic waste collection and classification activity. D. Suggests to Zhiqiang to encourage Feifei to be responsible for the plastic waste collection and classification activity.</OPTIONS>",338,143
"On a clear morning, Morning Light waits in the hallway for Dawn. They are both members of the study club, and they plan to attract new members. Star is a new student who just transfers, and he walks down the hallway. Morning Light sees Star, quickly glances at Dawn, and then smiles at Star. Dawn understands the meaning of Morning Light's gaze and nods.","<QUESTION>###QUESTION: What does Dawn do next?</QUESTION>
<OPTIONS>###OPTION: A. Morning Light leads the new student Star on a campus tour. B. Morning Light and Dawn go to meet the new student Star. C. Morning Light shows Star the promotional materials of his school. D. Morning Light and Dawn invite him to join the study club together.</OPTIONS>",339,144
"Almost every letter to Laura Company contains a check. Today, Laura receives 5 letters.  Laura tells you on the phone ""I look at 3 out of 5 letters. There are checks in 2 of the letters.","<QUESTION>###QUESTION: Before Laura calls you, how many of these 5 letters do you think contain checks?</QUESTION>
<OPTIONS>###OPTION: A. Before the call, 0 letters contain checks. B. Before the call, 1 letter contains a check. C. Before the call, 2 letters contain checks. D. Before the call, 4 letters contain checks.</OPTIONS>",340,145
"Almost every letter to Laura Company contains a check. Today, Laura receives 5 letters.  Laura tells you on the phone ""I look at 3 out of 5 letters. There are checks in 3 of the letters.","<QUESTION>###QUESTION: After Laura calls you, how many of these 5 letters do you think contain checks?</QUESTION>
<OPTIONS>###OPTION: A. After the call, 0 letters contain checks. B. After the call, 1 letter contains a check. C. After the call, 2 letters contain checks. D. After the call, 4 letters contain checks.</OPTIONS>",341,146
"In a toy store of a shopping center, salesperson Xiao Zhang is arranging various toys. He tells mom Liu, ""We have 50 different toys, most of them are dolls, some are puzzles, but there are hardly any remote control cars."" Liu checks and finds that there are only 10 puzzle toys.","<QUESTION>###QUESTION: Before Liu checks, how many dolls does she estimate?</QUESTION>
<OPTIONS>###OPTION: A. Before Liu checks, she estimates there are 20 dolls. B. Before Liu checks, she estimates there are 49 dolls. C. Before Liu checks, she estimates there are 50 dolls. D. Before Liu checks, she estimates there are 45 dolls.</OPTIONS>",342,147
"In a toy store of a shopping center, salesperson Xiao Zhang is arranging various toys. He tells mom Liu, ""We have 50 different toys, most of them are dolls, some are puzzles, but there are hardly any remote control cars."" Liu checks and finds only 10 puzzle toys.","<QUESTION>###QUESTION: After checking, how many dolls does Liu guess there are?</QUESTION>
<OPTIONS>###OPTION: A. After checking, Liu guesses there are 40 dolls. B. After checking, Liu guesses there are 35 dolls. C. After checking, Liu guesses there are 50 dolls. D. After checking, Liu guesses there are 45 dolls.</OPTIONS>",343,148
"A community reading corner has 15 books. Volunteers tell residents that the vast majority are novels, a small part are magazines, and very few are picture books. After browsing, residents find that only 3 are magazines.","<QUESTION>###QUESTION: How many do residents guess are novels before browsing?</QUESTION>
<OPTIONS>###OPTION: A. Before browsing, residents guess that there are 5 novels. B. Before browsing, residents guess that there are 13 novels. C. Before browsing, residents guess that there are 8 novels. D. Before browsing, residents guess that there are 14 novels.</OPTIONS>",344,149
"A community reading corner has 15 books. Volunteers tell residents that most are novels, a small part are magazines, and very few are picture books. After browsing, residents find that only 3 are magazines.","<QUESTION>###QUESTION: How many do residents guess are novels after browsing?</QUESTION>
<OPTIONS>###OPTION: A. After browsing, residents guess there are 5 novels. B. After browsing, residents guess there are 13 novels. C. After browsing, residents guess there are 10 novels. D. After browsing, residents guess there are 14 novels.</OPTIONS>",345,150
"At a family gathering, everyone is dividing a pile of gifts. Dad says to his son, Xiao Ming, ""There are 50 gifts here, most of them are toys, some are clothes, but there are hardly any books."" Xiao Ming checks and finds that there are 10 pieces of clothing.","<QUESTION>###QUESTION: How many dolls does Xiao Ming estimate before checking?</QUESTION>
<OPTIONS>###OPTION: A. Before checking, Xiao Ming estimates there are 49 dolls. B. Before checking, Xiao Ming estimates there are 20 dolls. C. Before checking, Xiao Ming estimates there are 50 dolls. D. Before checking, Xiao Ming estimates there are 45 dolls.</OPTIONS>
<QUESTION>###QUESTION: After checking, how many dolls does Xiao Ming estimate?</QUESTION>
<OPTIONS>###OPTION: A. After checking, Xiao Ming estimates there are 40 dolls. B. After checking, Xiao Ming estimates there are 35 dolls. C. After checking, Xiao Ming estimates there are 50 dolls. D. After checking, Xiao Ming estimates there are 45 dolls.</OPTIONS>",346-347,151
"There are 30 chairs in an office, Manager Li tells Director Wang that most of them are brand new, some are still usable, almost none need repairs. After checking, Director Wang finds that only 5 chairs are not brand new and do not need repairs.","<QUESTION>###QUESTION: How many chairs does Director Wang estimate are brand new before checking?</QUESTION>
<OPTIONS>###OPTION: A. Before checking, Director Wang estimates that there are 22 brand new chairs. B. Before checking, Director Wang estimates that there are 16 brand new chairs. C. Before checking, Director Wang estimates that there are 25 brand new chairs. D. Before checking, Director Wang estimates that there are 19 brand new chairs.</OPTIONS>",348,152
"There are 30 chairs in an office, Manager Li tells Director Wang, most of them are brand new, some are still usable, almost none need repairs. After checking, Director Wang finds that only 5 chairs are not brand new and do not need repairs.","<QUESTION>###QUESTION: Please ask how many ginkgo trees Director Wang estimates after checking?</QUESTION>
<OPTIONS>###OPTION: A. After checking, Director Wang estimates there are 9 brand new chairs. B. After checking, Director Wang estimates there are 16 brand new chairs. C. After checking, Director Wang estimates there are 25 brand new chairs. D. After checking, Director Wang estimates there are 23 brand new chairs.</OPTIONS>",349,153
"In a pet store, customer Xiao Zhang is choosing pet birds. He tells the store owner Xiao Li, ""There are 50 birds here, most of them are parrots, some are pigeons, but there are hardly any sparrows."" Xiao Li counts and finds there are only 12 pigeons.","<QUESTION>###QUESTION: Before Xiao Li counts, how many parrots does he guess there are?</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Li counts, he guesses there are 25 parrots. B. Before Xiao Li counts, he guesses there are 49 parrots. C. Before Xiao Li counts, he guesses there are 50 parrots. D. Before Xiao Li counts, he guesses there are 45 parrots.</OPTIONS>",350,154
"In a pet store, customer Xiao Zhang is choosing pet birds. He tells the store owner Xiao Li, ""There are 50 birds here, most of them are parrots, some are pigeons, but there are hardly any sparrows."" Xiao Li counts and finds that there are only 12 pigeons.","<QUESTION>###QUESTION: After Xiao Li counts, how many parrots does he guess there are?</QUESTION>
<OPTIONS>###OPTION: A. After counting, Xiao Li guesses there are 38 parrots. B. After counting, Xiao Li guesses there are 35 parrots. C. After counting, Xiao Li guesses there are 15 parrots. D. After counting, Xiao Li guesses there are 45 parrots.</OPTIONS>",351,155
"In a restaurant, the waitress Xiao Li is providing the menu to the customers. She tells the customer Xiao Chen, ""Our menu has 50 dishes, most of which are beef dishes, some are chicken dishes, but there are almost no vegetarian options."" Xiao Chen browses and finds only 8 vegetarian options.","<QUESTION>###QUESTION: Before Xiao Chen browses, how many beef dishes does he guess?</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Chen browses, he guesses there are 25 beef dishes. B. Before Xiao Chen browses, he guesses there are 30 beef dishes. C. Before Xiao Chen browses, he guesses there are 45 beef dishes. D. Before Xiao Chen browses, he guesses there are 49 beef dishes.</OPTIONS>
<QUESTION>###QUESTION: After browsing, how many beef dishes does Xiao Chen guess?</QUESTION>
<OPTIONS>###OPTION: A. After browsing, Xiao Chen guesses there are 20 beef dishes. B. After browsing, Xiao Chen guesses there are 30 beef dishes. C. After browsing, Xiao Chen guesses there are 40 beef dishes. D. After browsing, Xiao Chen guesses there are 45 beef dishes.</OPTIONS>",352-353,156
"There are 15 bicycles in the campus, Li Ming tells Chen Gang, he thinks most of them are new. After careful observation, Chen Gang thinks that only 5 of them look very new.","<QUESTION>###QUESTION: How many bicycles does Chen Gang guess are new before he observes carefully?</QUESTION>
<OPTIONS>###OPTION: A. Before Chen Gang observes carefully, he guesses that 12 bicycles are new. B. Before Chen Gang observes carefully, he guesses that 6 bicycles are new. C. Before Chen Gang observes carefully, he guesses that 10 bicycles are new. D. Before Chen Gang observes carefully, he guesses that 9 bicycles are new.</OPTIONS>
<QUESTION>###QUESTION: How many bicycles does Chen Gang think are new after careful observation?</QUESTION>
<OPTIONS>###OPTION: A. After careful observation, Chen Gang guesses that 12 bicycles are new. B. After careful observation, Chen Gang guesses that 6 bicycles are new. C. After careful observation, Chen Gang guesses that 10 bicycles are new. D. After careful observation, Chen Gang guesses that 5 bicycles are new.</OPTIONS>",354-355,157
