INDEX,ABILITY,DATA_INDEX,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
284,Non-literal communication: White lies,1,"Uncle Zhang prepares a special dish for the community's Spring Festival gathering. At the party, Aunt Wang tries this dish and feels something is off about the taste. When Uncle Zhang asks her opinion about the dish, Aunt Wang smiles and says this is one of the most delicious dishes she ever eats.",Does Aunt Wang tell the truth?,Yes,No,,,B
285,Non-literal communication: White lies,2,"Uncle Zhang prepares a special dish for the community's Spring Festival gathering. At the party, Aunt Wang tries this dish and feels something is off about the taste. When Uncle Zhang asks her opinion about the dish, Aunt Wang smiles and says this is one of the most delicious dishes she ever eats.",Why does Aunt Wang say this?,"Aunt Wang says this because she respects Uncle Zhang and considers maintaining community relationships, she does not want to make Uncle Zhang feel embarrassed or disappointed.",Aunt Wang says this because she really thinks it is one of the most delicious dishes she ever eats.,"Aunt Wang wants to establish her good person image in the community, so she chooses to praise Uncle Zhang's dish.","Aunt Wang says this because she worries that if she tells the truth, it damages her reputation in the community.",A
286,Non-literal communication: Egocentric lies,1,"In the small town, Aunt Wang is a beloved neighbor. She often shares fresh vegetables and fruits from her own garden. One day, someone steals her watermelon, but she does not make a fuss. When the neighbors ask, she just says, ""My watermelon is not ripe yet.",Is what Aunt Wang says true?,Yes,No,,,B
287,Non-literal communication: Egocentric lies,2,"In the small town, Aunt Wang is a beloved neighbor. She often shares fresh vegetables and fruits from her own garden. One day, someone steals her watermelon, but she does not make a fuss. When the neighbors ask, she just says, ""My watermelon is not ripe yet.",Why does Aunt Wang say this?,"Aunt Wang just learns a new agricultural technique and wants to let the watermelon ripen a bit more before picking, so she tells the neighbors that the watermelon is not ripe yet.","The watermelon at Aunt Wang's home is actually a special variety that needs more time to ripen, so she tells the neighbors it is not ripe yet.",Aunt Wang says this because she wants to protect her own privacy and avoid letting everyone know that her watermelon gets stolen.,Aunt Wang says this because she hopes the neighbors think the quality of her watermelon is especially good and needs some time to ripen.,C
288,Intention: Intentions explanations,1,"Today, Grandpa Zhang comes to visit Xiao Hong's house, and Xiao Hong is very hospitable, so she makes a rich dinner. Xiao Hong has a characteristic when she cooks: she pays special attention to the color matching of the dishes, striving to achieve a combination of color, aroma, and taste. Grandpa Zhang looks at the rich dinner prepared by Xiao Hong and says with emotion, ""Today's dishes are just like a colorful painting!""",Does Grandpa Zhang tell the truth?,Yes,No,,,B
289,Intention: Intentions explanations,2,"Today, Grandpa Zhang comes to visit Xiao Hong's house, and Xiao Hong is very hospitable, so she makes a rich dinner. Xiao Hong has a characteristic when she cooks: she pays special attention to the color matching of the dishes, striving to achieve a combination of color, aroma, and taste. Grandpa Zhang looks at the rich dinner prepared by Xiao Hong and says with emotion, ""Today's dishes are just like a colorful painting!""",Why does Grandpa Zhang say this?,He praises Xiao Hong for being very hospitable and cooking delicious food.,He thinks the color combination of the dinner is like a colorful painting.,He thinks the taste of the dinner is as fragrant as a painting.,He thinks the color combination of the dinner is too monotonous.,B
290,Belief: Identity false beliefs,1,"Li Hua is a very handsome young man who has a crush on his classmate Xiao Qian, although his classmates are unaware of his feelings. Li Hua excels in academics and often helps classmates solve difficult problems. However, he dislikes doing laborious tasks like sweeping and window cleaning. Coincidentally, he sees on the task list that there are light tasks such as arranging desks and chairs. Therefore, when tasks are assigned during the class cleanup day, he forcefully coughs and sneezes. Seeing this, his classmates decide to assign him some light work and have him organize desks and chairs with Xiao Qian.",Is what Li Hua says true?,A. Yes,B. No,,,B
291,Belief: Identity false beliefs,2,"Li Hua is a very handsome young man who has a crush on his classmate Xiao Qian, although his classmates are unaware of his feelings. Li Hua excels in academics and often helps classmates solve difficult problems. However, he dislikes doing laborious tasks like sweeping and window cleaning. Coincidentally, he sees on the task list that there are light tasks such as arranging desks and chairs. Therefore, when tasks are assigned during the class cleanup day, he forcefully coughs and sneezes. Seeing this, his classmates decide to assign him some light work and have him organize desks and chairs with Xiao Qian.",Why does Li Hua do this?,"A. Because Li Hua catches a cold and is very weak, unable to handle heavy work.",B. Because Li Hua wants to avoid doing tasks like sweeping and window cleaning.,"C. Because Li Hua excels in academics and helps classmates, and this time he hopes his classmates will help him.","D. Because Li Hua wants to work together with his crush, Xiao Qian, to organize desks and chairs.",B
292,Desire: Desire-action contradiction,1,"Xiao Ming really likes to eat chocolate, but he recently starts a healthy diet plan. There is a famous chocolate shop near Xiao Ming's school, he particularly likes the chocolate there. The chocolate shop releases a new product recently, he has too much homework, plans to find a day to try it. His friend asks him if he wants to go buy chocolate together after school, Xiao Ming replies: ""I have something to do after school, so I don't go with you?""",Does Xiao Ming really not want to eat chocolate?,Yes,No,,,B
293,Desire: Desire-action contradiction,2,"Xiao Ming really likes to eat chocolate, but he recently starts a healthy diet plan. There is a famous chocolate shop near Xiao Ming's school, he particularly likes the chocolate there. The chocolate shop releases a new product recently, he has too much homework, plans to find a day to try it. His friend asks him if he wants to go buy chocolate together after school, Xiao Ming replies: ""I have something to do after school, so I don't go with you?""",Why does Xiao Ming say he doesn't want to go buy chocolate with his friend?,Because his schoolwork is too heavy.,Because he wants to stay healthy.,Because he doesn't want his friend to know he breaks his healthy diet plan.,Because he doesn't have money to buy chocolate.,C
294,Belief: Identity false beliefs,1,"Xiaohua is the new bride in the family. She knows that her husband's family greatly respects the culture of the Republic of China period. Therefore, on the first day of her marriage, she dresses up as a housewife from the Republic of China period, carefully prepares a rich dinner, puts on a traditional apron, and wears a headpiece in the style of the Republic of China. She entertains her family while telling about her life experiences in that era, making her family listen with great interest.",Is what Xiaohua says true?,Yes,No,,,B
295,Belief: Identity false beliefs,2,"Xiaohua is the new bride in the family. She knows that her husband's family greatly respects the culture of the Republic of China period. Therefore, on the first day of her marriage, she dresses up as a housewife from the Republic of China period, carefully prepares a rich dinner, puts on a traditional apron, and wears a headpiece in the style of the Republic of China. She entertains her family while telling about her life experiences in that era, making her family listen with great interest.",Why does Xiaohua do this?,Xiaohua does this to adapt to her husband's family environment and integrate into the new family.,"Xiaohua does this because she naturally loves housework and cooking, and enjoys this role.",Xiaohua does this because she wants to show her abilities to her family members and win the competition.,Xiaohua does this because she conducts a sociological study on family roles.,A
296,Non-Literal Communication: Involuntary lies,1,"Xiao Li does his math homework in his room. His mom tells him to go to his aunt's house tonight. Xiao Li is busy doing his homework, only thinking about finishing it quickly, and casually agrees. At dinner, his dad asks, ""Are we going to your aunt's house tonight?"" Xiao Li says, ""No, we don't have plans.""",Is what Xiao Li says true?,Yes,No,,,B
297,Non-Literal Communication: Involuntary lies,2,"Xiao Li does his math homework in his room. His mom tells him to go to his aunt's house tonight. Xiao Li is busy doing his homework, only thinking about finishing it quickly, and casually agrees. At dinner, his dad asks, ""Are we going to your aunt's house tonight?"" Xiao Li says, ""No, we don't have plans.""",Why does Xiao Li say this?,Xiao Li deliberately lies because he does not want to go to his aunt's house.,Xiao Li forgets the plan his mother tells him because he focuses on his math homework.,Xiao Li deliberately lies because he wants to continue doing homework.,Xiao Li is busy thinking about eating and does not hear his mother's plan for tonight.,B
298,Intention: Intentions explanations,1,"Liu Jun and his younger brother have a good relationship, they like to share their food with each other. Today, Liu Jun buys a lemon, he wants to tease his younger brother, he tells his brother: ""This lemon is very sweet, you try it."" His brother takes a bite, he feels uncomfortable because it is sour, but in order to let his brother also feel the sourness, he shows a happy expression and says to his brother: ""This lemon is really sweet, you don't believe it, you try it."" His brother curiously tries it, he knows he gets tricked, it is sour.",Is what the younger brother says true?,Yes,No,,,B
299,Intention: Intentions explanations,2,"Liu Jun and his younger brother have a good relationship, they like to share their food with each other. Today, Liu Jun buys a lemon, he wants to tease his younger brother, he tells his brother: ""This lemon is very sweet, you try it."" His brother takes a bite, he feels uncomfortable because it is sour, but in order to let his brother also feel the sourness, he shows a happy expression and says to his brother: ""This lemon is really sweet, you don't believe it, you try it."" His brother curiously tries it, he knows he gets tricked, it is sour.",Why does the younger brother say this?,"The younger brother wants to 'retaliate' against his brother, he also wants to persuade his brother to taste it, to feel the sourness of the lemon","The younger brother shows a happy expression, the lemon is really sweet, he also wants to persuade his brother to taste it.","The lemon is sour, so the younger brother is joking with his brother that the lemon is sweet.","The younger brother wants to share his favorite food with his brother, he wants to share the lemon with his brother.",A
300,Belief: Beliefs based action/emotions,1,"Zhang Feng and Wang Li are business rivals, both operating companies in the same field. To break the stalemate, Zhang Feng released a fabricated financial report to make the outside world believe that his company was thriving. Wang Li noticed Zhang Feng's move, and she deliberately had someone announce on social media that she was about to launch a disruptive innovation to get Zhang Feng's attention.",Is the message Zhang Feng released true?,A. Yes,B. No,,,B
301,Belief: Beliefs based action/emotions,2,"Zhang Feng and Wang Li are business rivals, both operating companies in the same field. To break the stalemate, Zhang Feng released a fabricated financial report to make the outside world believe that his company was thriving. Wang Li noticed Zhang Feng's move, and she deliberately had someone announce on social media that she was about to launch a disruptive innovation to get Zhang Feng's attention.",Why does Wang Li announce that she is about to launch a disruptive innovation?,Wang Li hopes Zhang Feng thinks the innovation her company is about to launch poses a major threat to his business.,Wang Li thinks her company urgently needs an innovation to stay competitive.,Wang Li thinks Zhang Feng's move is not worth mentioning.,Wang Li learns that Zhang Feng's company financial report shows his business is in good condition.,A
302,Belief: Identity false beliefs,1,"Zhou Jie goes to the park and pretends to be a time traveler. He walks around the park, communicates with people using exaggerated actions and futuristic language, asks various questions about ""modern"" life, and also describes his adventures in that era. His strange dress and behavior attract the attention of many people, many tourists laugh, and some even actively join his role-playing game.",Does Zhou Jie tell the truth?,Yes,No,,,B
303,Belief: Identity false beliefs,2,"Zhou Jie goes to the park and pretends to be a time traveler. He walks around the park, communicates with people using exaggerated actions and futuristic language, asks various questions about ""modern"" life, and also describes his adventures in that era. His strange dress and behavior attract the attention of many people, many tourists laugh, and some even actively join his role-playing game.",Why does Zhou Jie do this?,Zhou Jie does this because he truly believes he is a time traveler from the future.,Zhou Jie does this because he participates in the on-site shooting of a science fiction movie.,Zhou Jie does this because he conducts a social experiment on the public's reaction to future technology.,Zhou Jie does this to bring joy to the park's visitors.,D
304,Intention: Intentions explanations,1,"Xiao Hong does not like to eat. She sees other children enjoy their meals, which makes her parents very worried about how to feed her. They later find out that Xiao Hong cannot live without her mother. So when Xiao Hong refuses to eat, her mother says, ""If you do not eat properly, I can only become the mother of another child.""",Does Xiao Hong's mother tell the truth?,Yes,No,,,B
305,Intention: Intentions explanations,2,"Xiao Hong does not like to eat. She sees other children enjoy their meals, which makes her parents worry about how to feed her. They later find out that Xiao Hong is very attached to her mother. So when Xiao Hong refuses to eat, her mother says, ""If you do not eat properly, I can only become the mother of other children.""",Why does Xiao Hong's mother say this?,"Xiao Hong does not like to eat, her mother is angry and does not want to be a mother anymore.","Xiao Hong's mother is angry, she sees other children enjoy their meals and wants to become their mother.",Xiao Hong's mother maintains the warmth and humor of the parent-child relationship.,"She uses Xiao Hong's dependence on her mother, trying to make Xiao Hong eat properly.",D
306,Non-Literal Communication: Involuntary lies,1,"Xiao Ling promised to help her mom buy groceries. Her mom told her to make sure to buy carrots. When she left, she ran into her good friend, and they went to buy groceries together. Xiao Ling bought a lot of groceries and, in the joy of chatting, forgot to buy carrots. Her mom asks, ""Have you brought back all the groceries?"" Xiao Ling looks at the many groceries and thinks for a moment and says, ""I've brought them back.""",Is what Xiao Ling says true?,A. Yes,B. No,,,B
307,Non-Literal Communication: Involuntary lies,2,"Xiao Ling promised to help her mom buy groceries. Her mom told her to make sure to buy carrots. When she left, she ran into her good friend, and they went to buy groceries together. Xiao Ling bought a lot of groceries and, in the joy of chatting, forgot to buy carrots. Her mom asks, ""Have you brought back all the groceries?"" Xiao Ling looks at the many groceries and thinks for a moment and says, ""I've brought them back.""",Why does Xiaoling say this?,Xiaoling deliberately lies because she does not want her mother to be angry.,Xiaoling forgets that she does not buy carrots because she is too happy chatting with her friend.,Xiaoling deliberately lies because she wants more free time with her friends.,Xiaoling thinks she buys all the groceries because she is usually very careful.,B
308,Intention: Intentions explanations,1,"One day, Grandma Wang walks home very late at night. She does not like walking home alone in the dark because she always fears that someone attacks and robs her. She really is a very nervous person! Suddenly, a man comes out of the shadows. He wants to ask Mrs. Wang what time it is now, so he walks towards her. When Grandma Wang sees the man walking towards her, she starts to tremble and says, ""Take my wallet, just please do not hurt me!""",Does the man feel surprised by what Grandma Wang says?,Yes,No,,,A
309,Intention: Intentions explanations,2,"One day, Grandma Wang walks home very late at night. She does not like walking home alone in the dark because she always fears that someone attacks and robs her. She really is a very nervous person! Suddenly, a man comes out of the shadows. He wants to ask Mrs. Wang what time it is now, so he walks towards her. When Grandma Wang sees the man walking towards her, she starts to tremble and says, ""Take my wallet, just please do not hurt me!""",Why does Grandma Wang say this when the man just wants to ask her what time it is now?,"Grandma Wang mistakenly thinks the man wants to rob her, not understanding the man's intention.","Because the man wants to rob her, so she persuades the man not to hurt her.","The man wants to rob her wallet, she is scared and nervous.","Grandma Wang, not knowing what time it is now, fears the man will attack her.",A
310,Belief: Identity false beliefs,1,"Wang Xiaohong is a supermarket promoter, she plays a famous cartoon character in the supermarket's anniversary celebration. She puts on colorful clothes, wears a specially made mask, and imitates the unique tone and movements of the character, saying she has the superpower to fulfill wishes. In the supermarket, she recommends products to customers as this character, interacts with children, takes photos for memory, and attracts many customers.",Does Wang Xiaohong tell the truth?,Yes,No,,,B
311,Belief: Identity false beliefs,2,"Wang Xiaohong is a supermarket promoter, she plays a famous cartoon character in the supermarket's anniversary celebration. She puts on colorful clothes, wears a specially made mask, and imitates the unique tone and movements of the character, saying she has the superpower to fulfill wishes. In the supermarket, she recommends products to customers as this character, interacts with children, takes photos for memory, and attracts many customers.",Why does Wang Xiaohong do this?,Wang Xiaohong does this because she really thinks she is that cartoon character and wants to experience the life of this character.,Wang Xiaohong does this because she wants to escape daily work responsibilities by playing the role.,Wang Xiaohong does this to respond to the supermarket's promotional activities and attract customer attention.,Wang Xiaohong does this because she conducts a market research on the impact of role-playing on customer shopping behavior.,C
312,Emotion: Mixed emotions,1,"Wang Liang is a successful entrepreneur, and he runs a company together with his partner, Liu Na. One day, the company secures a large contract, and Liu Na feels very excited about it. She says to Wang Liang, ""We have finally succeeded!"" However, in the evening at home, Liu Na complains to her friend, ""The contract task is quite heavy, and I'm a bit worried.""",Is Liu Na really excited?,A. Yes,B. No,,,A
313,Emotion: Mixed emotions,2,"Wang Liang is a successful entrepreneur, and he runs a company together with his partner, Liu Na. One day, the company secures a large contract, and Liu Na feels very excited about it. She says to Wang Liang, ""We have finally succeeded!"" However, in the evening at home, Liu Na complains to her friend, ""The contract task is quite heavy, and I'm a bit worried.""",Why does Liu Na express both happy and worried emotions?,"Liu Na is happy that the company gets a large contract, but is disappointed that she does not receive more rewards.","Liu Na is happy about the company's success, but worries that the company will be affected if the contract is not completed.","Liu Na is happy that the company gets a large contract, but is disappointed that the internal relations in the company become more tense.","Liu Na is happy about the company's success, but is disappointed that her partner does not cherish their cooperation.",B
314,Belief: Identity false beliefs,1,"In a college campus activity, the usually quiet and introverted Xiao Zhang suddenly shines on stage. He wears sunglasses, wears his hat backwards, imitates the singing and movements of a famous singer, says he is that singer, and gives a stunning performance. His classmates all laugh at his performance, and the recorded video quickly becomes popular on the internet.",Does Xiao Zhang tell the truth?,Yes,No,,,B
315,Belief: Identity false beliefs,2,"In a college campus activity, the usually quiet and introverted Xiao Zhang suddenly shines on stage. He wears sunglasses, wears his hat backwards, imitates the singing and movements of a famous singer, says he is that singer, and gives a stunning performance. His classmates all laugh at his performance, and the recorded video quickly becomes popular on the internet.",Why does Xiao Zhang say this?,"Xiao Zhang does this because he really wants to become that famous singer, this is his career dream.",Xiao Zhang disguises himself because he is tired of his real identity and wants to hide his true face.,"Xiao Zhang chooses to disguise as a famous singer for entertaining his classmates, bringing everyone a surprise, and also for challenging himself, trying different lifestyles.","Xiao Zhang chooses to do this because of the encouragement and support from his classmates, he wants to show his versatility.",C
316,Desire: Desire-action contradiction,1,"Xiaoli does not watch movies for a long time, she gets invited by her friend to watch a movie today. Xiaoli's grandfather really likes to have dinner with the family. Tonight, Xiaoli's family celebrates her grandfather's birthday. Grandfather asks Xiaoli if she goes out tonight, Xiaoli says ""does not go out"".",Is what Xiaoli tells her grandfather true?,Yes,No,,,A
317,Desire: Desire-action contradiction,2,"Xiaoli does not watch movies for a long time, she gets invited by her friend to watch a movie today. Xiaoli's grandfather really likes to have dinner with the family. Tonight, Xiaoli's family celebrates her grandfather's birthday. Grandfather asks Xiaoli if she goes out tonight, Xiaoli says ""does not go out"".","Why does Xiaoli want to watch a movie, but says she wants to have dinner with her family?",Because she does not want to disappoint her grandfather.,Because she worries her friend cancels the plan.,Because she actually prefers to be with her family.,Because she does not like the movie she prepares to watch.,A
318,Non-literal communication: White lies,1,"At a family gathering, Meng Hua's cousin asks him if he believes in the real existence of Santa Claus. Meng Hua does not want to break his cousin's fantasy, so he says: ""Of course, Santa Claus is real!""",Does Meng Hua tell the truth?,Yes,No,,,B
319,Non-literal communication: White lies,2,"At a family gathering, Meng Hua's cousin asks him if he believes in the real existence of Santa Claus. Meng Hua does not want to break his cousin's fantasy, so he says: ""Of course, Santa Claus is real!""",Why does Meng Hua say this?,Meng Hua convinces his cousin because Santa Claus is real.,Meng Hua convinces his cousin because he does not want to shatter his illusion.,Meng Hua tells a white lie because he wants to give his cousin a surprise.,Meng Hua tells a white lie because he does not want to shatter his cousin's illusion.,D
320,Belief: Beliefs based action/emotions,1,"On a Saturday morning, Li Hua attends her favorite yoga class. She always pays attention to maintaining her figure, so she wears professional sportswear every time she goes to yoga class. She always wants to be a yoga instructor, so today she tries on a yoga instructor's outfit for fun. The yoga instructor walks over to her and says, ""Li Hua, you dress like a professional yoga instructor today!"" Li Hua says, ""Yes, I am the instructor today.",Is what Li Hua says true?,Yes,No,,,B
321,Belief: Beliefs based action/emotions,2,"On a Saturday morning, Li Hua attends her favorite yoga class. She always pays attention to maintaining her figure, so she wears professional sportswear every time she goes to yoga class. She always wants to be a yoga instructor, so today she tries on a yoga instructor's outfit for fun. The yoga instructor walks over to her and says, ""Li Hua, you dress like a professional yoga instructor today!"" Li Hua says, ""Yes, I am the instructor today.",Why does Li Hua say this?,She wants to wear yoga clothes to tease the yoga teacher.,She thinks the coach's clothes are more comfortable.,She always pays attention to keep her figure and likes to wear professional clothes.,"She tries to appear in the image of a coach, she longs to be a yoga instructor.",D
322,Belief: Beliefs based action/emotions,1,"Zhou Li and Lin Tao are rival singers. At a music awards ceremony, Zhou Li publicly announces that she is about to collaborate with an internationally renowned singer, even though this collaboration has not been finalized yet. Lin Tao feels that his position in the music industry is threatened and, unwilling to be outdone, also announces that his new album will be produced by a world-class producer, even though this is only a preliminary discussion.",Is what Zhou Li announced true?,A. Yes,B. No,,,B
323,Belief: Beliefs based action/emotions,2,"Zhou Li and Lin Tao are rival singers. At a music awards ceremony, Zhou Li publicly announces that she is about to collaborate with an internationally renowned singer, even though this collaboration has not been finalized yet. Lin Tao feels that his position in the music industry is threatened and, unwilling to be outdone, also announces that his new album will be produced by a world-class producer, even though this is only a preliminary discussion.",Why does Lin Tao announce that his new album is produced by a world-class producer?,Lin Tao indeed reaches a cooperation with a world-class producer.,Lin Tao hopes to reach a cooperation with a world-class producer by making the announcement.,"Lin Tao tries to enhance his fame through a fictitious collaboration, in response to Zhou Li's announcement.",Lin Tao disdains Zhou Li's ability to collaborate with an international singer.,C
324,Intention: Intentions explanations,1,"Xiao Li and Mr. Wang are neighbors, and their relationship has become quite good because they live in the same building. The neighbors upstairs are often noisy late at night, and Mr. Wang has complained to them several times without any improvement. Xiao Li is currently complaining to Mr. Wang, saying, ""I've had enough of our upstairs neighbors. They always have parties at night, the music is deafening, and it's hard for me to sleep. I really want to move out."" In reality, Mr. Wang also knows about this situation, but to prevent Xiao Li from moving out, he laughs and says, ""Maybe you just need to look at it from a different perspective. Perhaps the people upstairs aren't doing it on purpose. Don't be too anxious; after all, there will always be challenges in life.""",Is what Mr. Wang said true?,A. Yes,B. No,,,B
325,Intention: Intentions explanations,2,"Xiao Li and Mr. Wang are neighbors, and their relationship has become quite good because they live in the same building. The neighbors upstairs are often noisy late at night, and Mr. Wang has complained to them several times without any improvement. Xiao Li is currently complaining to Mr. Wang, saying, ""I've had enough of our upstairs neighbors. They always have parties at night, the music is deafening, and it's hard for me to sleep. I really want to move out."" In reality, Mr. Wang also knows about this situation, but to prevent Xiao Li from moving out, he laughs and says, ""Maybe you just need to look at it from a different perspective. Perhaps the people upstairs aren't doing it on purpose. Don't be too anxious; after all, there will always be challenges in life.""",Why did Mr. Wang say so?,A. Mr. Wang believes Xiao Li should consider moving to avoid the impact of upstairs noise.,"B. He is trying to encourage Xiao Li to continue enduring, as the people upstairs might just want to gather with friends.","C. Mr. Wang, to maintain a good neighborhood relationship with Xiao Li, intentionally suggests that the people upstairs might not be doing it on purpose.",D. Mr. Wang thinks Xiao Li is overly anxious and shouldn't feel too much pressure about the noise from upstairs.,C
326,Intention: Intentions explanations,1,"One afternoon, the school announces the latest exam results. Xiao Ming is always the top student in the class, but his performance in this exam is not as good as before. When he sees his report card, he feels very upset. Teacher Li sees his expression, comes over, and says to him: ""Xiao Ming, grades do not represent everything, you are still that shining diamond!""",Does Teacher Li really say Xiao Ming is a diamond?,Yes,No,,,B
327,Intention: Intentions explanations,2,"One afternoon, the school announces the latest exam results. Xiao Ming is always the top student in the class, but his performance in this exam is not as good as before. When he sees his report card, he feels very upset. Teacher Li sees his expression, comes over, and says to him: ""Xiao Ming, grades do not represent everything, you are still that shining diamond!""",Why does Teacher Li say this?,"Because she thinks Xiao Ming is actually a diamond, grades are not important.","Because she uses a metaphor to encourage Xiao Ming, so he does not worry too much about grades.","Because she sees that Xiao Ming's grades are really bad, so she uses a white lie.","Because Xiao Ming is always the top student in the class, so the teacher does not accept his grades are not as good as before, she hopes he becomes a diamond.",B
328,Non-literal communication: White lies,1,"Aunt proudly displays her new variety of vegetables at the market, but these vegetables are actually not fresh. Xiao Li sees the actual situation of the vegetables, but seeing Aunt's hard work and enthusiasm, he praises, ""These vegetables look really good, I definitely buy when I come next time.",Is what Xiao Li says true?,Yes,No,,,B
329,Non-literal communication: White lies,2,"Aunt proudly displays her new variety of vegetables at the market, but these vegetables are actually not fresh. Xiao Li sees the actual situation of the vegetables, but seeing Aunt's hard work and enthusiasm, he praises, ""These vegetables look really good, I definitely buy when I come next time.",Why does Xiao Li say this?,"Xiao Li thinks Aunt's vegetables are indeed fresh, his praise is based on the real evaluation of the vegetable quality.",Xiao Li says this because he hopes to get Aunt's discount price through praise.,"Xiao Li thinks the vegetables are fresh and also wants to maintain a good relationship with Aunt, so he chooses to praise Aunt's vegetables.","Xiao Li praises Aunt's vegetables out of politeness, even though he does not actually plan to buy.",D
330,Non-literal communication: Egocentric lies,1,"Xiao Li is a very excellent high school student. One day, her math test paper accidentally gets a very low score. When her friends ask about this score, Xiao Li answers that she does not concentrate on preparing for the exam because of a cold, so the exam does not go well. She also mentions that she already starts to review, and she definitely does better next time. In fact, Xiao Li cheats in the exam that day and gets caught.",Is what Xiao Li says true?,Yes,No,,,B
331,Non-literal communication: Egocentric lies,2,"Xiao Li is a very excellent high school student. One day, her math test paper accidentally gets a very low score. When her friends ask about this score, Xiao Li answers that she does not concentrate on preparing for the exam because of a cold, so the exam does not go well. She also mentions that she already starts to review, and she definitely does better next time. In fact, Xiao Li cheats in the exam that day and gets caught.",Why does Xiao Li say this?,"Xiao Li says this because she fears the truth will ruin her reputation, so she makes up the excuse of having a cold.","Xiao Li says this because she indeed has a cold, which prevents her from concentrating during the exam.","Xiao Li just experiences a family dispute, she says these to avoid showing her family problems in front of her friends.",Xiao Li says this because she does not want others to worry about her health condition due to a previous accident.,A
332,Non-literal communication: Egocentric lies,1,"Mr. Zhao is a respected doctor with exceptional medical skills, often having many patients waiting in line for consultations. However, he is someone who cares deeply about others' opinions. A while back, Mr. Li's cow had damaged Mr. Zhao's vegetable garden, leading to a heated argument between them. This incident, though, is now in the past for Mr. Zhao. One day, Mr. Li approached Mr. Zhao, hoping he could help figure out why his cow suddenly stopped eating. Upon hearing it was for the cow, Mr. Zhao told Mr. Li, ""I'm too busy lately, with several surgeries lined up. It's better for you to find another veterinarian to take a look."" Despite some disappointment, Mr. Li thanked Mr. Zhao and turned away.",Is what Mr. Zhao says true?,A. Yes,B. No,,,B
333,Non-literal communication: Egocentric lies,2,"Mr. Zhao is a respected doctor with exceptional medical skills, often having many patients waiting in line for consultations. However, he is someone who cares deeply about others' opinions. A while back, Mr. Li's cow had damaged Mr. Zhao's vegetable garden, leading to a heated argument between them. This incident, though, is now in the past for Mr. Zhao. One day, Mr. Li approached Mr. Zhao, hoping he could help figure out why his cow suddenly stopped eating. Upon hearing it was for the cow, Mr. Zhao told Mr. Li, ""I'm too busy lately, with several surgeries lined up. It's better for you to find another veterinarian to take a look."" Despite some disappointment, Mr. Li thanked Mr. Zhao and turned away.",Why does Mr. Zhao say so?,"A. Mr. Zhao often has many patients waiting for consultations, and he is indeed very busy recently.","B. Mr. Zhao harbors some resentment towards Mr. Li's cow for previously damaging his vegetable garden, so he doesn't want to help.","C. Mr. Zhao actually doesn't like Mr. Li, so when he seeks help, Mr. Zhao deliberately finds excuses to decline.","D. Mr. Zhao is afraid that if people in the village see him unable to treat the cow, it lowers his respected status. Therefore, he finds a reason to decline.",D
334,Belief: Beliefs based action/emotions,1,"In a costume role-playing competition, Yang Qing participates and plays an ancient martial arts master, wearing a gorgeous warrior costume, and a helmet studded with jewels. During the competition, a spectator suddenly comes on stage and enthusiastically greets Yang Qing: ""Hello, I am Ah Long, who are you?"" Yang Qing answers without hesitation: ""I am the martial arts master here.""",Does Yang Qing tell the truth?,Yes,No,,,B
335,Belief: Beliefs based action/emotions,2,"In a costume role-playing competition, Yang Qing participates and plays an ancient martial arts master, wearing a gorgeous warrior costume, and a helmet studded with jewels. During the competition, a spectator suddenly comes on stage and enthusiastically greets Yang Qing: ""Hello, I am Ah Long, who are you?"" Yang Qing answers without hesitation: ""I am the martial arts master here.""",Why does Yang Qing say this?,He really thinks he is the ancient martial arts master he plays in the competition.,"Yang Qing plays a martial arts master, integrating himself with the role he plays to enhance the performance effect.","The spectator's greeting is too sudden, causing Yang Qing to be a bit confused when answering.","Because Yang Qing wears a gorgeous warrior costume and a helmet inlaid with jewels, he looks like a martial arts master.",B
336,Intention: Intentions explanations,1,"At the company annual meeting, Manager Wang listens to Xiao Liu's work progress report and frowns at Xiao Liu, saying, ""Your work style seems like a leisurely snail, slowly crawling."" Xiao Liu feels a bit embarrassed.",Is Xiao Liu a snail?,Yes,No,,,B
337,Intention: Intentions explanations,2,"At the company annual meeting, Manager Wang listens to Xiao Liu's work progress report and frowns at Xiao Liu, saying, ""Your work style seems like a leisurely snail, slowly crawling."" Xiao Liu feels a bit embarrassed.",Why does Manager Wang say this?,He thinks Xiao Liu is a leisurely snail.,He is a person who likes to joke.,He uses a metaphor to describe Xiao Liu's work as slow.,He thinks Xiao Liu works as seriously as a snail.,C
338,Belief: Identity false beliefs,1,"Yichun and Yating are good friends, playing a telephone game in the house. Yichun has never seen a telephone before. At this moment, their mother brings a fruit platter with apples, bananas, and pears. Yating, who loves bananas the most, picks up a banana from the fruit platter and puts it to her ear. She says to Yichun, ""Look! This banana is a telephone!""",Is what Yating says true?,A. Yes,B. No,,,B
339,Belief: Identity false beliefs,2,"Yichun and Yating are good friends, playing a telephone game in the house. Yichun has never seen a telephone before. At this moment, their mother brings a fruit platter with apples, bananas, and pears. Yating, who loves bananas the most, picks up a banana from the fruit platter and puts it to her ear. She says to Yichun, ""Look! This banana is a telephone!""",Why does Yating say so?,A. Because Yating loves bananas the most,B. Because a banana looks more like a telephone than apples and pears,C. Because she wants to tease Yichun,D. Because she is playing around with Yichun,D
